음식명,class_id,id
간장게장,0,13011001
갈비탕,1,4013002
갈치조림,2,9011002
감자볶음,3,8012001
고구마맛탕,4,10014002
골뱅이무침,5,11014001
곱창전골,6,4018002
광어회,7,14011004
김밥,8,1016020
김치볶음,9,8012002
김치볶음밥,10,1014001
김치전,11,7013003
깍두기,12,12011003
느타리버섯볶음,13,8012004
달걀말이,14,7014001
달걀찜,15,5013001
닭갈비,16,6012001
닭강정,17,10012001
닭볶음탕,18,4013011
더덕구이,19,6013001
도토리묵,20,11011006
돈가스,21,10012003
동그랑땡,22,7012001
동태전,23,7011003
돼지갈비,24,6012003
돼지고기김치찌개,25,4019001
돼지고기볶음,26,8013001
돼지국밥,27,1015018
된장찌개,28,4017001
두부김치,29,8012005
두부부침,30,7014002
떡국,31,2011038
떡볶이,32,8014001
라면,33,2011010
마늘장아찌,34,13011005
마늘쫑무침,35,11011007
마파두부,36,8014003
만두,37,2012001
매운탕,38,4013005
멸치볶음,39,8011003
무생채,40,11011008
문어숙회,41,5011004
물냉면,42,2011013
배추김치,43,12011008
볶음밥,44,1014003
불고기,45,6012005
비빔밥,46,1014004
뼈해장국,47,4013024
삼계탕,48,4013014
새우튀김,49,10011002
생연어,50,14011001
설렁탕,51,4013015
소고기무국,52,4011007
소고기미역국,53,4011008
소세지볶음,54,8013003
수제비,55,2011019
숙주나물,56,11013006
순대국밥,57,1015012
시금치나물,58,11013007
쌀밥,59,1011001
양념게장,60,13011007
양념치킨,61,10012005
어묵볶음,62,8011004
연어초밥,63,1016011
오므라이스,64,1014010
오징어볶음,65,8011005
오징어튀김,66,10011005
우동,67,2011024
유부초밥,68,1016012
육개장,69,4013023
육회,70,14012001
자장면,71,2011027
자장밥,72,1015006
잔치국수,73,2011028
잡채,74,11015001
전복죽,75,3011007
제육덮밥,76,1015010
짬뽕,77,2011029
카레라이스,78,1015013
칼국수,79,2011036
콩국수,80,2011033
콩나물국,81,4012006
콩밥,82,1012002
콩조림,83,9015002
탕수육,84,10012008
파김치,85,12011015
파전,86,7013011
해물찜,87,5011012
햄부침,88,7012002
현미밥,89,1012005
호박전,90,7013013
호박죽,91,3011011
흑미밥,92,1012006
